Thu Nov 15 06:48:13 2018,  TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:41 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:42 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:44 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:45 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:46 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:48 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:49 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:50 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:51 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:53 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:54 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:55 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:57 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:58 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:59 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:00 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:02 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:03 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:04 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:06 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:07 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:08 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:09 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:11 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:12 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:13 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:15 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:16 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:17 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:18 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:20 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:21 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:22 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:24 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:25 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:26 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:27 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:29 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:30 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:31 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:33 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:34 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:35 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:36 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:38 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:39 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:40 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:42 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:43 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:44 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:45 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:47 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:48 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:49 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:51 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:52 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:53 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:54 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:56 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:57 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:52:58 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:00 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:01 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:02 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:03 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:05 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:06 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:07 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:09 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:10 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:11 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:12 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:14 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:15 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:16 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:18 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:19 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:20 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:21 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:23 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:24 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:25 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:27 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:28 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:29 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:30 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:32 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:33 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:34 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:36 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:37 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:38 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:39 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:41 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:42 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:43 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:45 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:46 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:47 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:48 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:50 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:51 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:52 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:54 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:55 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:56 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:57 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:53:59 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:00 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:01 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:03 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:04 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:05 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:06 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:08 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:09 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:10 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:12 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:13 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:14 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:15 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:17 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:18 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:19 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:21 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:22 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:23 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:24 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:26 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:27 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:28 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:30 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:31 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:32 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:33 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:35 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:36 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:37 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:39 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:40 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:41 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:54:42 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
